SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,,Boise,ID,83702,1000000,,,,,19035,,257,,,Active,,,https://www.redfin.com/ID/Boise/Undisclosed-address-83702/home/194829882,IMLS,98936805,N,Y,43.6624385,-116.1630431
MLS Listing,,Condo/Co-op,3701 W Crescent Rim Dr Unit 406 & 407,Boise,ID,83706,1000000,4,4.0,Boise Bench - 0400,3273,,1964,10,306,2099,Active,,,https://www.redfin.com/ID/Boise/3701-W-Crescent-Rim-Dr-83706/unit-407/home/106703469,IMLS,98970985,N,Y,43.61099,-116.227414
MLS Listing,,Condo/Co-op,3059 W Crescent Rim Dr #201,Boise,ID,83706,1000000,2,2.5,Spectacular Condominiums,1853,,2016,14,540,952,Active,,,https://www.redfin.com/ID/Boise/3059-W-Crescent-Rim-Dr-83706/unit-201/home/106767510,IMLS,98970742,N,Y,43.604135,-116.219616
MLS Listing,,Single Family Residential,13228 Crescent Dr,Nampa,ID,83686,1000000,5,3.0,Skyranch Sub,4378,87120,1998,64,228,47,Active,January-17-2026 11:00 AM,January-17-2026 02:00 PM,https://www.redfin.com/ID/Nampa/13228-Crescent-Dr-83686/home/117239060,IMLS,98966358,N,Y,43.5094481,-116.6575905
MLS Listing,,Single Family Residential,12400 Hwy 44,Middleton,ID,83644,999999,2,1.0,Hawthorn,1200,65340,1910,298,833,,Active,,,https://www.redfin.com/ID/Middleton/12400-Highway-44-83644/home/116932488,IMLS,98940234,N,Y,43.7069534,-116.6404675
MLS Listing,,Single Family Residential,296 N Clearpoint Way,Eagle,ID,83616,999999,5,3.5,Countryside Est,3702,17424,2003,232,270,127,Active,,,https://www.redfin.com/ID/Eagle/296-N-Clearpoint-Way-83616/home/106727078,IMLS,98948833,N,Y,43.6978346,-116.3796717
MLS Listing,,Single Family Residential,9318 W Pandion Ct,Boise,ID,83703,999999,4,4.0,Pandion Meadows,3438,19994,2001,57,291,63,Active,,,https://www.redfin.com/ID/Boise/9318-W-Pandion-Ct-83714/home/106762451,IMLS,98968057,N,Y,43.6747547,-116.3014547
MLS Listing,,Single Family Residential,7125 E Osprey Estates Dr,Nampa,ID,83686,999995,4,2.5,Osprey Estates,3056,24829,2025,147,327,60,Active,,,https://www.redfin.com/ID/Nampa/7125-E-Osprey-Estates-Dr-83686/home/191856561,IMLS,98959097,N,Y,43.513802,-116.535382
MLS Listing,,Single Family Residential,8481 Big Foot Rd,Melba,ID,83641-5003,999990,6,4.0,Melba - 1265,4960,58413,1960,67,202,,Active,,,https://www.redfin.com/ID/Melba/8481-Big-Foot-Rd-83641/home/118214922,IMLS,98967171,N,Y,43.4299428,-116.5627256
New Construction Home,,Single Family Residential,6920 N Spencer Way,Meridian,ID,83646,999900,5,4.0,Meridian,3238,,2025,119,309,100,Active,,,https://www.redfin.com/ID/Meridian/6920-N-Spencer-Way-83646/home/194181688,Zillow,E0443C5D146E,N,Y,43.667715,-116.501155
New Construction Plan,,Single Family Residential,The Bridger Multi-Gen Plan,Meridian,ID,83646,999900,4,3.0,Meridian,3181,,,182,314,100,Active,,,https://www.redfin.com/ID/Meridian/Meridian/The-Bridger-Multi-Gen/home/196501630,Zillow,F72C0FF0B6C7,N,Y,43.667247,-116.496899
MLS Listing,,Single Family Residential,10202 W Twisted Vine Dr,Star,ID,83669,999900,5,4.0,Heron River,3581,9844,2019,261,279,133,Active,,,https://www.redfin.com/ID/Star/10202-W-Twisted-Vine-Dr-83669/home/167266786,IMLS,98944896,N,Y,43.6882918,-116.4807898
MLS Listing,,Single Family Residential,21913 Paint Ave,Star,ID,83669,999900,4,4.5,River Park Estates,3687,9191,2024,17,271,220,Active,,,https://www.redfin.com/ID/Star/21913-Paint-Ave-83669/home/191858620,IMLS,98970531,N,Y,43.691638,-116.531498
New Construction Plan,,Single Family Residential,The Alpine Plan,Meridian,ID,83646,999900,4,3.5,Meridian,3650,,,320,274,100,Active,,,https://www.redfin.com/ID/Meridian/Meridian/The-Alpine/home/194301983,Zillow,7347B927D5F5,N,Y,43.667247,-116.496899
MLS Listing,,Single Family Residential,6724 N Adale Way,Meridian,ID,83646,999900,4,3.5,Fairbourne,3348,9888,2022,78,299,88,Active,,,https://www.redfin.com/ID/Meridian/6724-N-Adale-Way-83646/home/181149489,IMLS,98966164,N,Y,43.665564,-116.456449
MLS Listing,,Single Family Residential,2560 N Palaestra Ave,Eagle,ID,83616,999900,4,3.5,Millstone Farm,3226,8189,2025,28,310,200,Active,,,https://www.redfin.com/ID/Eagle/2560-N-Palaestra-Ave-83616/home/199737675,IMLS,98970130,N,Y,43.7047479,-116.4443483
MLS Listing,,Single Family Residential,2300 N Palaestra Ave,Eagle,ID,83616,999900,4,3.5,Millstone Farm,3226,8407,2025,28,310,200,Active,,,https://www.redfin.com/ID/Eagle/2300-N-Palaestra-Ave-83616/home/196479960,IMLS,98970129,N,Y,43.7047479,-116.4443483
MLS Listing,,Single Family Residential,7615 Brown Way,Eagle,ID,83629,999880,4,3.0,Avimor,2522,7971,2025,31,396,133,Active,,,https://www.redfin.com/ID/Eagle/7615-Brown-WAY-Unknown/home/199678069,IMLS,98969869,N,Y,43.6954424,-116.3540138
MLS Listing,,Single Family Residential,6844 S Messner Way,Meridian,ID,83642,999777,4,3.5,Pinnacle,2950,8363,2025,92,339,67,Active,,,https://www.redfin.com/ID/Meridian/6844-S-Messner-Way-83642/home/197668824,IMLS,98964882,N,Y,43.5425824,-116.3607837
New Construction Plan,,Single Family Residential,Stevens Plan,N7hh3d Caldwell,ID,83607,999000,4,2.5,Caldwell,2785,,,210,359,75,Active,,,https://www.redfin.com/ID/N7hh3d-Caldwell/Caldwell/Stevens/home/196121201,Zillow,925BDE64FBB3,N,Y,43.7343302,-116.6983876
MLS Listing,,Vacant Land,3820 E Overland,Meridian,ID,83642,999000,,,Jewel Sub,,39988,,261,,,Active,,,https://www.redfin.com/ID/Meridian/3820-E-Overland-Rd-83642/home/106748092,IMLS,98944888,N,Y,43.5906617,-116.346818
MLS Listing,,Single Family Residential,1151 N Torrey Pines Ave,Eagle,ID,83616,999000,5,2.5,Melvins Eagle Point,3368,10454,1997,53,297,41,Active,,,https://www.redfin.com/ID/Eagle/1151-N-Torrey-Pines-Ave-83616/home/106805114,IMLS,98968388,N,Y,43.7050484,-116.3304219
MLS Listing,,Single Family Residential,2553 N Buhrstone Ave,Eagle,ID,83616,999000,4,3.5,Millstone Farm,3210,8537,2026,51,311,200,Active,,,https://www.redfin.com/ID/Eagle/2553-N-Buhrstone-AVE-83616/home/198827476,IMLS,98968563,N,Y,43.7147331237793,-116.44547271728516
MLS Listing,,Single Family Residential,TBD Stella Ct,Nampa,ID,83686,999000,3,3.0,Golden Hills Estates,2750,44431,2026,39,363,42,Active,,,https://www.redfin.com/ID/Nampa/1212-3rd-St-S-83651/home/199494176,IMLS,98968910,N,Y,43.577162,-116.5611642
MLS Listing,,Single Family Residential,7633 W Lookout View St,Meridian,ID,83646,999000,4,4.0,Inspirado,3626,9757,2025,1,276,200,Active,,,https://www.redfin.com/ID/Meridian/7633-W-Lookout-View-St-83646/home/194183841,IMLS,98971917,N,Y,43.667126,-116.48852
MLS Listing,,Single Family Residential,1283 S Gosling Way,Eagle,ID,83616,998888,3,2.5,Island Woods,2860,13939,1993,141,349,168,Active,,,https://www.redfin.com/ID/Eagle/1283-S-Gosling-Way-83616/home/106746834,IMLS,98959744,N,Y,43.6831766,-116.3510529
MLS Listing,,Single Family Residential,9650 Kemp Rd,Middleton,ID,83644,998500,4,3.5,Willow Creek Ra,4034,55321,2000,1,248,24,Active,,,https://www.redfin.com/ID/Middleton/9650-Kemp-Rd-83644/home/117489723,IMLS,98971987,N,Y,43.7394222,-116.5854942
MLS Listing,,Single Family Residential,65 Peregrine Dr,Boise,ID,83716,998000,5,4.0,Osprey Boise County,3974,153331,2006,76,251,140,Active,,,https://www.redfin.com/ID/Boise/65-Peregrine-Dr-83716/home/115261192,IMLS,98966435,N,Y,43.7157904,-115.9414993
MLS Listing,,Single Family Residential,7639 Elko Ln,Middleton,ID,83644,998000,3,2.5,Blue Heron,2264,217800,2005,1,441,,Active,,,https://www.redfin.com/ID/Middleton/7639-Elko-Ln-83644/home/116992481,IMLS,98971778,N,Y,43.7089328,-116.5464554
MLS Listing,,Single Family Residential,7645 E Charismatic St,Nampa,ID,83687,998000,3,2.5,Belmont Heights,2901,43560,2004,3,344,58,Active,January-17-2026 12:00 PM,January-17-2026 03:00 PM,https://www.redfin.com/ID/Nampa/7645-E-Charismatic-St-83687/home/117211638,IMLS,98971564,N,Y,43.5777228,-116.4752279
MLS Listing,,Single Family Residential,7909 W Rockhaven Dr,Eagle,ID,83616-6078,997445,3,3.0,Terra View,2125,8145,2026,145,469,233,Active,,,https://www.redfin.com/ID/Eagle/7909-W-Rockhaven-Dr-83616/home/194182079,IMLS,98959298,N,Y,43.722541,-116.452322
New Construction Plan,,Single Family Residential,The Willow MG Plan,Eagle,ID,83616,995900,4,3.5,Eagle,2974,,,100,335,,Active,,,https://www.redfin.com/ID/Eagle/Eagle/The-Willow-MG/home/198508506,Zillow,154CA8959E26,N,Y,43.709169,-116.451768
MLS Listing,,Single Family Residential,9282 W Deerfawn Dr,Star,ID,83669,995000,3,2.5,Heron River,2499,13068,2017,85,398,147,Active,,,https://www.redfin.com/ID/Star/9282-W-Deerfawn-Dr-83669/home/142664830,IMLS,98965634,N,Y,43.686284,-116.4694798
MLS Listing,,Single Family Residential,12179 W Tustin,Kuna,ID,83634,995000,4,3.5,Arrowrock Ranch,3733,25569,2006,173,267,220,Active,,,https://www.redfin.com/ID/Kuna/12179-W-Tustin-Ln-83634/home/106691113,IMLS,98956058,N,Y,43.4562825,-116.3339326
MLS Listing,,Single Family Residential,9145 Tula Dr,Middleton,ID,83644,995000,4,3.0,Cascade Hills,2816,44431,2022,141,353,21,Active,,,https://www.redfin.com/ID/Middleton/9145-Tula-Dr-83644/home/176207111,IMLS,98959691,N,Y,43.7309206,-116.5756258
MLS Listing,,Single Family Residential,1590 N Watershed Ln,Star,ID,83669,995000,4,3.0,Paint Point,2979,20995,2025,70,334,,Active,,,https://www.redfin.com/ID/Star/1590-N-Watershed-Ln-83669/home/179346557,IMLS,98966980,N,Y,43.70625,-116.493669
MLS Listing,,Single Family Residential,2757 S Goshen Way,Boise,ID,83709-8506,995000,4,2.5,Muir Woods,3373,24829,2002,4,295,40,Active,,,https://www.redfin.com/ID/Boise/2757-S-Goshen-Way-83709/home/106687785,IMLS,98971511,N,Y,43.5798163,-116.3396822
MLS Listing,,Vacant Land,500 East Victory Rd,Meridian,ID,83642,995000,,,Observation Pt,,70567,,14,,,Active,,,https://www.redfin.com/ID/Meridian/500-E-Victory-Rd-83642/home/106649408,IMLS,98970744,N,Y,43.5758411,-116.3882794
New Construction Plan,,Single Family Residential,The Alpine Plan,Eagle,ID,83616,994900,4,3.5,Eagle,3650,,,104,273,,Active,,,https://www.redfin.com/ID/Eagle/Eagle/The-Alpine/home/195337126,Zillow,F3E4B07B67F6,N,Y,43.70964,-116.451447
MLS Listing,,Ranch,00 Willis Rd,Caldwell,ID,83607,990000,,,Middleton - 1285,,865101,,247,,,Active,,,https://www.redfin.com/ID/Caldwell/Willis-Rd-83607/home/116628324,IMLS,98941863,N,Y,43.720862,-116.688311
MLS Listing,,Single Family Residential,2187 N Palaestra Ave,Eagle,ID,83616,989900,4,2.5,Millstone Farm,2373,8624,2025,63,417,67,Active,,,https://www.redfin.com/ID/Eagle/2187-N-Palaestra-Ave-83616/home/199082439,IMLS,98967578,N,Y,43.7041559,-116.4448764
MLS Listing,,Single Family Residential,3811 E Darlington Dr,Meridian,ID,83642,989900,5,3.0,Kingsbridge,3224,12327,2014,12,307,85,Active,January-17-2026 11:00 AM,January-17-2026 02:00 PM,https://www.redfin.com/ID/Meridian/3811-E-Darlington-Dr-83642/home/106780661,IMLS,98969355,N,Y,43.571332,-116.3467644
MLS Listing,,Single Family Residential,5368 W Haughburn Dr,Eagle,ID,83616,989900,3,2.5,Valnova Estates Subdivision,2514,9539,2025,15,394,240,Active,January-17-2026 12:00 PM,January-17-2026 04:00 PM,https://www.redfin.com/ID/Eagle/5368-W-Haughburn-Dr-83616/home/197668484,IMLS,98970670,N,Y,43.760133,-116.419642
New Construction Plan,,Single Family Residential,Selway Plan,Eagle,ID,83616,989900,4,3.5,Eagle,3010,,,372,329,124,Active,,,https://www.redfin.com/ID/Eagle/Eagle/Selway/home/194156171,Zillow,6D86C585A7C4,N,Y,43.696801,-116.377017
MLS Listing,,Single Family Residential,7978 Baseline Rd #0,Melba,ID,83641,989500,3,2.0,Melba - 1265,2638,260924,2008,3,375,,Active,,,https://www.redfin.com/ID/Melba/7978-Base-Line-Rd-83641/home/117537462,IMLS,98971543,N,Y,43.3731414,-116.5520122
MLS Listing,,Single Family Residential,3941 S Daybreak Pl,Meridian,ID,83642,987000,4,3.0,Caven Ridge Estates,3081,12066,2020,2,320,75,Active,,,https://www.redfin.com/ID/Meridian/3941-S-Daybreak-Pl-83642/home/172634806,IMLS,98971650,N,Y,43.5690345,-116.3854741
MLS Listing,,Vacant Land,7119 Birch Ln,Nampa,ID,83687,985000,,,Nampa NE (87) - 1250,,133293,,49,,,Active,,,https://www.redfin.com/ID/Nampa/7119-Birch-Ln-83687/home/116892364,IMLS,98963149,N,Y,43.6120428,-116.5356227
MLS Listing,,Single Family Residential,11451 W Puerta Ct,Boise,ID,83709,985000,5,3.0,Canonero West,3274,23086,1999,14,301,,Active,,,https://www.redfin.com/ID/Boise/11451-W-Puerta-Ct-83709/home/106795222,IMLS,98970690,N,Y,43.5752793,-116.3246815
New Construction Plan,,Single Family Residential,Tablerock Plan,Boise,ID,83714,983300,4,3.5,Boise,3234,,,310,304,110,Active,,,https://www.redfin.com/ID/Boise/Boise/Tablerock/home/195015819,Zillow,D7FFAE25B3E5,N,Y,43.7284226,-116.299358
MLS Listing,,Single Family Residential,9401 Basin Kid Ct,Middleton,ID,83644,981900,4,2.5,Oakley Estates,2461,55756,2026,1,399,33,Active,,,https://www.redfin.com/ID/Middleton/9401-Basin-Kid-Ct-83644/home/200076756,IMLS,98971755,N,Y,43.736101,-116.580294
MLS Listing,,Multi-Family (2-4 Unit),2228 E Roanoke Dr,Boise,ID,83712,979999,7,6.0,Foothills East,3744,23958,1979,1,262,,Active,,,https://www.redfin.com/ID/Boise/2228-E-Roanoke-Dr-83712/home/106731775,IMLS,98971815,N,Y,43.6096859,-116.1643173
MLS Listing,,Single Family Residential,6141 E Toon Ln,Kuna,ID,83634,975000,7,5.0,Cloverdale Ridg,4216,221720,2022,113,231,,Active,,,https://www.redfin.com/ID/Kuna/6141-E-Toon-Ln-83634/home/106659905,IMLS,98962281,N,Y,43.5057162,-116.3370755
